pole_id,latitude,longitude,height_ft,has_streetlight,subtype
1406079,47.6287583,-122.3585910,19,Yes,1
1406423,47.6256137,-122.3625473,50,Yes,1
1406365,47.6272522,-122.3565968,50,Yes,1
1320605,47.6862255,-122.3282383,50,Yes,1
1320604,47.6858936,-122.3282293,50,Yes,1
1320603,47.6856078,-122.3282277,50,Yes,1
1320611,47.6852797,-122.3270628,47,Yes,1
1320610,47.6856085,-122.3270627,47,Yes,1
1320608,47.6863172,-122.3270692,47,Yes,1
1318496,47.6867807,-122.3274757,30,Yes,1
1320538,47.6854323,-122.3257002,45,Yes,1
1320620,47.6841024,-122.3230375,35,Yes,1
1320529,47.6849886,-122.3281804,50,Yes,1
1320530,47.6849795,-122.3276091,47,Yes,1
1406083,47.6284986,-122.3579060,19,Yes,1
1320532,47.6846283,-122.3270549,47,Yes,1
1320535,47.6849665,-122.3263355,47,Yes,1
1320542,47.6842439,-122.3256889,47,Yes,1
1320548,47.6836117,-122.3256732,50,Yes,1
1320597,47.6838793,-122.3270551,47,Yes,1
1320596,47.6836062,-122.3270484,47,Yes,1
1320598,47.6835923,-122.3282076,50,Yes,1
1320599,47.6839097,-122.3282113,50,Yes,1
1406446,47.6256526,-122.3570779,45,Yes,1
1350310,47.6280940,-122.3592002,45,Yes,1
1350102,47.6268026,-122.3633159,50,Yes,1
1320600,47.6843151,-122.3282188,50,Yes,1
1320601,47.6846285,-122.3282188,50,Yes,1
1320539,47.6849489,-122.3251080,47,Yes,1
1320545,47.6842211,-122.3242666,30,Yes,1
1321716,47.6314823,-122.3474830,95,Yes,1
1360776,47.6263238,-122.3453880,50,Yes,1
1321628,47.6316521,-122.3525572,35,Yes,1
1321770,47.6307500,-122.3551002,47,Yes,1
1360800,47.6257551,-122.3461560,70,Yes,1
1321590,47.6255182,-122.3537567,55,Yes,1
1321704,47.6297359,-122.3466395,47,Yes,1
1321813,47.6289594,-122.3480121,50,Yes,1
1321605,47.6286136,-122.3461454,75,Yes,1
1321783,47.6263424,-122.3494672,50,Yes,1
1338961,47.6758452,-122.2840507,50,Yes,1
1338960,47.6758452,-122.2837255,50,Yes,1
1360996,47.6254769,-122.3473260,60,Yes,1
1360990,47.6253514,-122.3466604,999,Yes,1
1338959,47.6758469,-122.2834373,50,Yes,1
1338958,47.6758465,-122.2828920,65,Yes,1
1341063,47.6761323,-122.2869713,50,Yes,1
1341080,47.6767341,-122.2859244,47,Yes,1
1341081,47.6764295,-122.2859204,45,Yes,1
1341117,47.6767291,-122.2821566,47,Yes,1
1341085,47.6758457,-122.2854920,30,Yes,1
1338963,47.6758456,-122.2850320,70,Yes,1
1338964,47.6761578,-122.2849977,50,Yes,1
1338965,47.6765914,-122.2850102,50,Yes,1
1338962,47.6758463,-122.2845465,65,Yes,1
1386371,47.5829549,-122.3552976,40,Yes,1
1382049,47.6903743,-122.4020245,35,Yes,1
1382048,47.6900317,-122.4018906,40,Yes,1
1382042,47.6879105,-122.4019147,35,Yes,1
1377907,47.6845087,-122.4003294,30,Yes,1
1382007,47.6830597,-122.4009343,35,Yes,1
1382030,47.6845887,-122.4030251,30,Yes,1
1382031,47.6851232,-122.4029890,30,Yes,1
1382032,47.6858388,-122.4029659,30,Yes,1
1382033,47.6863529,-122.4028569,30,Yes,1
1382132,47.6861429,-122.4026139,50,Yes,1
1382133,47.6853905,-122.4026552,50,Yes,1
1321566,47.6186770,-122.3556018,40,Yes,1
1321585,47.6240697,-122.3553012,33,Yes,1
1321692,47.6235560,-122.3541903,35,Yes,1
1321930,47.6248879,-122.3476894,35,Yes,1
1374380,47.6179415,-122.3477207,25,Yes,1
1321936,47.6246585,-122.3512650,30,Yes,1
1360561,47.6208070,-122.3451023,40,Yes,1
1321946,47.6246501,-122.3486971,34,Yes,1
1374376,47.6184965,-122.3474550,35,Yes,1
1360879,47.6218832,-122.3476883,30,Yes,1
1321565,47.6199904,-122.3529375,35,Yes,1
1360673,47.6186740,-122.3500598,30,Yes,1
1360888,47.6210585,-122.3476921,30,Yes,1
1337337,47.5542526,-122.2806666,40,Yes,1
1337335,47.5538722,-122.2804925,40,Yes,1
2496087,47.5537017,-122.2800989,40,Yes,1
1337333,47.5534507,-122.2804873,47,Yes,1
1370354,47.4740948,-122.3506150,25,Yes,1
1399099,47.4753920,-122.3450779,50,Yes,1
1370397,47.4796128,-122.3449864,47,Yes,1
1399066,47.4803926,-122.3550121,20,Yes,1
1370457,47.4762113,-122.3488520,45,Yes,1
1337150,47.5534438,-122.2795406,40,Yes,1
1337149,47.5534422,-122.2792956,50,Yes,1
1337148,47.5534400,-122.2788763,50,Yes,1
